circRNA,RBP,query_gene
10_100017508_100017819|LOXL4,BRUNOL5,LOXL4
10_100017508_100017819|LOXL4,BRUNOL6,LOXL4
10_100017508_100017819|LOXL4,CUG-BP,LOXL4
10_100017508_100017819|LOXL4,MBNL1,LOXL4
10_100017508_100017819|LOXL4,PTBP1,LOXL4
10_100017508_100017819|LOXL4,RBM24,LOXL4
10_100017508_100017819|LOXL4,RBM38,LOXL4
10_100017508_100017819|LOXL4,SRSF2,LOXL4
10_100017508_100017819|LOXL4,SRSF3,LOXL4
10_100017508_100017819|LOXL4,SRSF5,LOXL4
10_100017508_100017819|LOXL4,TARDBP,LOXL4
10_100017508_100017819|LOXL4,ZC3H10,LOXL4
10_101911452_101911608|ERLIN1,A1CF,ERLIN1
10_101911452_101911608|ERLIN1,ANKHD1,ERLIN1
10_101911452_101911608|ERLIN1,HNRNPH1,ERLIN1
10_101911452_101911608|ERLIN1,KHDRBS1,ERLIN1
10_101911452_101911608|ERLIN1,KHDRBS2,ERLIN1
10_101911452_101911608|ERLIN1,KHDRBS3,ERLIN1
10_101911452_101911608|ERLIN1,PABPC3,ERLIN1
10_101911452_101911608|ERLIN1,PABPN1,ERLIN1
10_101911452_101911608|ERLIN1,PUM2,ERLIN1
10_101911452_101911608|ERLIN1,QKI,ERLIN1
10_101911452_101911608|ERLIN1,RBMS1,ERLIN1
10_101911452_101911608|ERLIN1,RBMS3,ERLIN1
10_101911452_101911608|ERLIN1,SRSF1,ERLIN1
10_101911452_101911608|ERLIN1,SRSF3,ERLIN1
10_101911452_101911608|ERLIN1,TRA2B,ERLIN1
10_102122536_102122656|SCD,CPEB4,SCD
10_102122536_102122656|SCD,HNRNPC,SCD
10_102122536_102122656|SCD,HNRNPCL1,SCD
10_102122536_102122656|SCD,HNRNPM,SCD
10_102122536_102122656|SCD,HuR,SCD
10_102122536_102122656|SCD,PCBP2,SCD
10_102122536_102122656|SCD,PTBP1,SCD
10_102122536_102122656|SCD,RALY,SCD
10_102122536_102122656|SCD,SRSF3,SCD
10_102122536_102122656|SCD,SRSF5,SCD
10_102122536_102122656|SCD,TIA1,SCD
10_102122536_102122656|SCD,U2AF2,SCD
10_102122536_102122656|SCD,ZC3H14,SCD
10_102300433_102300539|HIF1AN,CUG-BP,HIF1AN
10_102300433_102300539|HIF1AN,HNRNPH2,HIF1AN
10_102300433_102300539|HIF1AN,HuR,HIF1AN
10_102300433_102300539|HIF1AN,MBNL1,HIF1AN
10_102300433_102300539|HIF1AN,PTBP1,HIF1AN
10_102300433_102300539|HIF1AN,QKI,HIF1AN
10_102300433_102300539|HIF1AN,SRSF2,HIF1AN
10_102300433_102300539|HIF1AN,SRSF3,HIF1AN
10_102300433_102300539|HIF1AN,SRSF5,HIF1AN
10_102300433_102300539|HIF1AN,SRSF9,HIF1AN
10_102300433_102300539|HIF1AN,TRA2B,HIF1AN
10_102300433_102300539|HIF1AN,ZCRB1,HIF1AN
10_102746280_102746583|MRPL43,CPEB2,MRPL43
10_102746280_102746583|MRPL43,CPEB4,MRPL43
10_102746280_102746583|MRPL43,HNRNPC,MRPL43
10_102746280_102746583|MRPL43,HNRNPCL1,MRPL43
10_102746280_102746583|MRPL43,HNRNPK,MRPL43
10_102746280_102746583|MRPL43,MBNL1,MRPL43
10_102746280_102746583|MRPL43,NOVA1,MRPL43
10_102746280_102746583|MRPL43,RALY,MRPL43
10_102746280_102746583|MRPL43,SRSF1,MRPL43
10_102746280_102746583|MRPL43,SRSF3,MRPL43
10_102746280_102746583|MRPL43,SRSF5,MRPL43
10_102746280_102746583|MRPL43,SRSF7,MRPL43
10_102746280_102746583|MRPL43,TIA1,MRPL43
10_102746280_102746583|MRPL43,U2AF2,MRPL43
10_102753623_102753779|C10orf2,DAZAP1,C10orf2
10_102753623_102753779|C10orf2,FMR1,C10orf2
10_102753623_102753779|C10orf2,HNRNPA1,C10orf2
10_102753623_102753779|C10orf2,HNRNPA1L2,C10orf2
10_102753623_102753779|C10orf2,HNRNPA2B1,C10orf2
10_102753623_102753779|C10orf2,HNRNPF,C10orf2
10_102753623_102753779|C10orf2,MSI1,C10orf2
10_102753623_102753779|C10orf2,RBM28,C10orf2
10_102753623_102753779|C10orf2,RBM3,C10orf2
10_102753623_102753779|C10orf2,RBM46,C10orf2
10_102753623_102753779|C10orf2,RBM5,C10orf2
10_102753623_102753779|C10orf2,SRSF1,C10orf2
10_102753623_102753779|C10orf2,TRA2B,C10orf2
10_102762439_102762555|LZTS2,CUG-BP,LZTS2
10_102762439_102762555|LZTS2,MBNL1,LZTS2
10_102762439_102762555|LZTS2,PCBP2,LZTS2
10_102762439_102762555|LZTS2,PTBP1,LZTS2
10_102762439_102762555|LZTS2,SAMD4A,LZTS2
10_102762439_102762555|LZTS2,SRSF2,LZTS2
10_102762439_102762555|LZTS2,SRSF3,LZTS2
10_102762439_102762555|LZTS2,SRSF5,LZTS2
10_103427642_103436193|FBXW4,FXR1,FBXW4
10_103427642_103436193|FBXW4,HNRNPA1,FBXW4
10_103427642_103436193|FBXW4,HNRNPA2B1,FBXW4
10_103427642_103436193|FBXW4,RBM5,FBXW4
10_103427642_103436193|FBXW4,SRSF1,FBXW4
10_103427642_103436193|FBXW4,SRSF5,FBXW4
10_103427642_103436193|FBXW4,SRSF9,FBXW4
10_103427642_103436193|FBXW4,TRA2B,FBXW4
10_103550652_103550795|MGEA5,CUG-BP,MGEA5
10_103550652_103550795|MGEA5,DAZAP1,MGEA5
10_103550652_103550795|MGEA5,G3BP2,MGEA5
10_103550652_103550795|MGEA5,HNRNPF,MGEA5
10_103550652_103550795|MGEA5,HNRNPH1,MGEA5
10_103550652_103550795|MGEA5,PABPN1,MGEA5
10_103550652_103550795|MGEA5,PTBP1,MGEA5
10_103550652_103550795|MGEA5,RBM45,MGEA5
10_103550652_103550795|MGEA5,SRSF1,MGEA5
10_103550652_103550795|MGEA5,SRSF5,MGEA5
10_103550652_103550795|MGEA5,SRSF7,MGEA5
10_103550652_103550795|MGEA5,TARDBP,MGEA5
10_103550652_103550795|MGEA5,TRA2A,MGEA5
10_103550652_103550795|MGEA5,TRA2B,MGEA5
10_103869181_103869431|LDB1,MBNL1,LDB1
10_103869181_103869431|LDB1,PABPC1,LDB1
10_103869181_103869431|LDB1,PABPC3,LDB1
10_103869181_103869431|LDB1,PABPC4,LDB1
10_103869181_103869431|LDB1,PTBP1,LDB1
10_103869181_103869431|LDB1,SART3,LDB1
10_103869181_103869431|LDB1,SRSF3,LDB1
10_103869181_103869431|LDB1,SRSF5,LDB1
10_103869181_103869431|LDB1,SRSF7,LDB1
10_103869181_103869431|LDB1,YBX2,LDB1
10_103899482_103899589|PPRC1,CNOT4,PPRC1
10_103899482_103899589|PPRC1,CUG-BP,PPRC1
10_103899482_103899589|PPRC1,HNRNPH1,PPRC1
10_103899482_103899589|PPRC1,MBNL1,PPRC1
10_103899482_103899589|PPRC1,PTBP1,PPRC1
10_103899482_103899589|PPRC1,RBM5,PPRC1
10_103899482_103899589|PPRC1,SRSF1,PPRC1
10_103899482_103899589|PPRC1,SRSF10,PPRC1
10_103899482_103899589|PPRC1,SRSF2,PPRC1
10_103899482_103899589|PPRC1,SRSF3,PPRC1
10_103899482_103899589|PPRC1,SRSF5,PPRC1
10_103917051_103917312|NOLC1,PABPC1,NOLC1
10_103917051_103917312|NOLC1,PABPC4,NOLC1
10_103917051_103917312|NOLC1,SART3,NOLC1
10_103917051_103917312|NOLC1,SRSF9,NOLC1
10_103917051_103917312|NOLC1,TRA2B,NOLC1
10_103920058_103920380|NOLC1,CNOT4,NOLC1
10_103920058_103920380|NOLC1,CUG-BP,NOLC1
10_103920058_103920380|NOLC1,ENOX1,NOLC1
10_103920058_103920380|NOLC1,FMR1,NOLC1
10_103920058_103920380|NOLC1,HNRNPA1,NOLC1
10_103920058_103920380|NOLC1,PABPC1,NOLC1
